Location_Name,Location_Type,Location_code,STATE,event_name,agrn,cat_A,cat_B,cat_C,cat_D,highest_drfa_category_group,AGDRP,DRA,hazard_type,disaster_start_date
Blacktown,LGA,10750,New South Wales,Sydney Metropolitan Area Hail Storm: 25 April 2015,704,0,0,0,0,unknown,0,0,"Hailstorm, Storm",2015-04-25
Blacktown,LGA,10750,New South Wales,East Coast Storms and Floods: 1 June 2016,718,0,0,0,0,unknown,0,0,"Flood, Storm, Storm surge",2016-06-01
Blacktown,LGA,10750,New South Wales,NSW Storms and Floods: 13 December 2018 onwards,833,1,1,0,0,A/B,0,0,"Flood, Storm",2018-12-13
Blacktown,LGA,10750,New South Wales,NSW Storms and Floods: 20 December 2018,834,1,1,0,0,A/B,0,0,"Flood, Storm",2018-12-20
Blacktown,LGA,10750,New South Wales,NSW Storms and Floods: 15 January 2020 onwards,898,1,1,0,0,A/B,0,0,"Flood, Storm",2020-01-15
Blacktown,LGA,10750,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,1,1,1,1,C/D,1,1,Flood,2021-03-10
Blacktown,LGA,10750,New South Wales,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,1,1,1,1,C/D,1,1,Flood,2022-02-22
Blacktown,LGA,10750,New South Wales,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,1,1,0,1,C/D,1,1,Flood,2022-06-27
Blacktown,LGA,10750,New South Wales,AGRN 1119 - NSW East Coast Flooding (from 1 April 2024 onwards),1119,1,1,0,0,A/B,0,0,Flood,2024-04-01
Blacktown,LGA,10750,New South Wales,AGRN 1170 - NSW Severe Weather and Storms from 15 January 2025,1170,1,1,0,0,A/B,0,0,Storm,2025-01-15
Blacktown,LGA,10750,New South Wales,AGRN 1247 - NSW Severe Weather Event (from 26 November 2025),1247,1,1,0,0,A/B,0,0,Storm,2025-11-26
Bland,LGA,10800,New South Wales,New South Wales flooding: October 2010,417,0,0,0,0,unknown,0,0,Flood,2010-10-01
Bland,LGA,10800,New South Wales,New South Wales-floods: 29 November to 28 February 2011,421,0,0,0,0,unknown,0,0,Flood,2010-11-29
Bland,LGA,10800,New South Wales,New South Wales severe storm: March 2011,446,0,0,0,0,unknown,0,0,Storm,2011-03-21
Bland,LGA,10800,New South Wales,New South Wales-Northern New South Wales floods: 22 to 30 November 2011,463,0,0,0,0,unknown,0,0,Flood,2011-11-22
Bland,LGA,10800,New South Wales,Southern New South Wales flooding: February to March 2012,479,0,0,0,0,unknown,0,0,Flood,2012-02-28
Bland,LGA,10800,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,0,0,Bushfire,2013-01-01
Bland,LGA,10800,New South Wales,Inland NSW Storms and Floods: 18 June 2016,722,0,0,0,0,unknown,0,0,"Flood, Storm",2016-06-18
Bland,LGA,10800,New South Wales,NSW Inland Storms and Floods (from 30 August 2016),731,0,0,0,0,unknown,0,0,"Flood, Rainfall, Storm",2016-08-30
Bland,LGA,10800,New South Wales,Bland Shire Bushfire: from 30 November 2016,748,0,0,0,0,unknown,0,0,Bushfire,2016-11-30
Bland,LGA,10800,New South Wales,AGRN 987 - NSW Severe Weather and Flooding from 9 November 2021 onwards,987,1,1,0,1,C/D,0,0,Flood,2021-11-09
Bland,LGA,10800,New South Wales,AGRN 1001 - NSW - Southern NSW Storm and Floods (5 January 2022 onwards),1001,1,1,0,1,C/D,0,0,Flood,2022-01-05
Bland,LGA,10800,New South Wales,AGRN 1030 - Southern and Central West Flooding (4 August 2022 onwards),1030,1,1,0,1,C/D,0,0,Flood,2022-08-04
Bland,LGA,10800,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,0,1,Flood,2022-09-14
Blayney,LGA,10850,New South Wales,New South Wales-floods: 29 November to 28 February 2011,421,0,0,0,0,unknown,0,0,Flood,2010-11-29
Blayney,LGA,10850,New South Wales,Southern New South Wales flooding: February to March 2012,479,0,0,0,0,unknown,0,0,Flood,2012-02-28
Blayney,LGA,10850,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,0,0,Bushfire,2013-01-01
Blayney,LGA,10850,New South Wales,Inland NSW Storms and Floods: 20 July 2016,726,0,0,0,0,unknown,0,0,"Flood, Storm",2016-07-20
Blayney,LGA,10850,New South Wales,NSW Inland Storms and Floods (from 30 August 2016),731,0,0,0,0,unknown,0,0,"Flood, Rainfall, Storm",2016-08-30
Blayney,LGA,10850,New South Wales,NSW Storms and Floods: 15 January 2020 onwards,898,1,1,0,0,A/B,0,0,"Flood, Storm",2020-01-15
Blayney,LGA,10850,New South Wales,AGRN 987 - NSW Severe Weather and Flooding from 9 November 2021 onwards,987,1,1,0,1,C/D,0,1,Flood,2021-11-09
Blayney,LGA,10850,New South Wales,AGRN 1001 - NSW - Southern NSW Storm and Floods (5 January 2022 onwards),1001,1,1,0,1,C/D,0,0,Flood,2022-01-05
Blayney,LGA,10850,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,0,1,Flood,2022-09-14
Blayney,LGA,10850,New South Wales,AGRN 1052 - NSW Bushfires (6 March 2023),1052,0,1,0,0,A/B,0,0,Bushfire,2023-03-06
Blayney,LGA,10850,New South Wales,AGRN 1055 - Western and North West NSW Bushfires (17 February 2023),1055,1,1,0,0,A/B,0,0,Bushfire,2023-02-17
Blue Mountains,LGA,10900,New South Wales,New South Wales severe weather: July 2011,452,0,0,0,0,unknown,0,0,Weather event,2011-07-05
Blue Mountains,LGA,10900,New South Wales,New South Wales bushfire: 20 to 23 September 2011,477,0,0,0,0,unknown,0,0,Bushfire,2011-09-20
Blue Mountains,LGA,10900,New South Wales,New South Wales bushfire: 24 to 25 October 2011,499,0,0,0,0,unknown,0,0,Bushfire,2011-10-24
Blue Mountains,LGA,10900,New South Wales,East coast severe weather and floods: 19 February 2013,549,0,0,0,0,unknown,0,0,"Flood, Weather event",2013-02-19
Blue Mountains,LGA,10900,New South Wales,Eastern bushfires: from 13 October 2013,587,0,0,0,0,unknown,0,0,Bushfire,2013-10-13
Blue Mountains,LGA,10900,New South Wales,Eastern bushfires: from 16 October 2013,588,0,0,0,0,unknown,0,0,Bushfire,2013-10-16
Blue Mountains,LGA,10900,New South Wales,Western Sydney bushfires: from 10 September 2013,614,0,0,0,0,unknown,0,0,Bushfire,2013-09-10
Blue Mountains,LGA,10900,New South Wales,Eastern NSW severe thunderstorms: 13 October 2014,651,0,0,0,0,unknown,0,0,Thunderstorm,2014-10-13
