id,title,category,year,decade,start_date,end_date,lat,lon,regions,deaths,injuries,evacuated,homeless,insured_cost,homes_destroyed,buildings_destroyed,impact_score,url
195,Bushfire - Western Sydney and Central Coast,Bushfire,1991,1990,10/16/1991 0:00,1/31/1992 0:00,-33.65120697,151.0015869,New South Wales,2.0,0.0,0.0,0.0,12000000.0,14.0,0.0,48.0,http://www.emknowledge.gov.au/resource/?id=195
196,Bushfire - Central Victoria and Alpine Fires,Bushfire,1985,1980,1/14/1985 0:00,1/28/1985 0:00,-37.04653931,143.736969,Victoria,3.0,0.0,0.0,600.0,0.0,180.0,0.0,510.0,http://www.emknowledge.gov.au/resource/?id=196
197,Environmental - Northern Australia,Environmental,1951,1950,1/1/1951 0:00,4/1/1954 0:00,-25.16517258,143.6572266,Western Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.emknowledge.gov.au/resource/?id=197
201,Flood - Sydney and Wollongong,Flood,1998,1990,8/17/1998 0:00,8/19/1998 0:00,-34.42443466,150.8930969,New South Wales,1.0,0.0,0.0,0.0,40000000.0,0.0,0.0,10.0,http://www.emknowledge.gov.au/resource/?id=201
206,Bushfire - South-East Victoria,Bushfire,1926,1920,2/1/1926 0:00,3/10/1926 0:00,-37.75360107,145.6890869,Victoria,60.0,0.0,0.0,700.0,0.0,0.0,0.0,740.0,http://www.emknowledge.gov.au/resource/?id=206
210,Bushfire - Linton (near Ballarat),Bushfire,1998,1990,12/2/1998 0:00,12/2/1998 0:00,-37.68438339,143.5633545,Victoria,5.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,http://www.emknowledge.gov.au/resource/?id=210
212,Flood - Brisbane River,Flood,1974,1970,1/25/1974 0:00,1/29/1974 0:00,-27.4712677,153.0091705,Queensland,13.0,300.0,2500.0,0.0,68000000.0,56.0,0.0,967.0,http://www.emknowledge.gov.au/resource/?id=212
213,Hail - Sydney Apr 1999,Hail,1999,1990,4/14/1999 0:00,4/14/1999 0:00,-33.9096756,151.2230225,New South Wales,1.0,50.0,0.0,500.0,1700000000.0,0.0,0.0,210.0,http://www.emknowledge.gov.au/resource/?id=213
218,Cyclone Audrey,Cyclone,1969,1960,2/28/1969 0:00,3/9/1969 0:00,-12.05006504,134.2199707,Northern Territory,4.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,http://www.emknowledge.gov.au/resource/?id=218
219,Hail - Western Sydney,Hail,1986,1980,10/3/1986 0:00,10/3/1986 0:00,-33.81459808,151.0031281,New South Wales,0.0,10.0,0.0,120.0,104000000.0,0.0,0.0,44.0,http://www.emknowledge.gov.au/resource/?id=219
